calls_received_month,call_count,answer_time_mean,answer_time_median,answer_time_std,call_count_not_answered,call_count_112,answer_time_mean_112,answer_time_median_112,answer_time_std_112,call_count_112_not_answered,call_count_112_answered_within_10_seconds,call_count_112_answered_after_60_seconds
2024-01,77000,26.36,11.84,35.48,28017,71287,26.67,11.98,35.58,27546,32788,9555
2024-02,68416,27.29,12.88,36.6,25555,63560,27.61,13.12,36.78,25169,27607,8736
2024-03,71174,25.79,12.45,33.24,24566,66243,26.1,12.74,33.31,24176,29590,8513
2024-04,74266,19.89,8.04,28.65,21455,69116,19.75,7.84,28.27,21028,38309,5985
2024-05,81610,22.01,9.36,30.39,25898,75995,22.07,9.37,30.2,25438,39048,7719
2024-06,79314,23.89,10.14,33.03,25195,73910,24.19,10.38,33.17,24810,36434,8604
2024-07,81216,24.76,11.13,32.81,27005,75789,25.06,11.38,32.86,26608,35739,9260
2024-08,75210,27.86,12.85,35.82,25670,69922,28.26,13.27,35.83,25295,30806,10450
2024-09,72655,32.47,15.69,42.21,29305,67917,33.2,16.29,42.75,28920,26719,12214
2024-10,74478,29.92,13.19,41.05,27323,69603,30.4,13.57,41.19,27007,30552,11344
2024-11,69593,29.1,12.23,41.6,24750,64761,29.5,12.44,41.91,24417,29519,10040
2024-12,74516,28.31,11.36,41.13,25353,69346,28.83,11.74,41.29,25027,32541,10617
2025-01,77225,24.46,10.51,34.77,26802,71721,24.65,10.66,34.74,26411,34812,8516
2025-02,68746,28.45,13.12,37.2,24018,63915,28.98,13.58,37.42,23662,27707,9805
2025-03,74852,29.84,13.46,39.37,27045,69703,30.36,13.88,39.66,26621,30116,11607
2025-04,74784,20.67,8.36,29.58,20110,70023,20.8,8.35,29.55,19828,37661,6497
2025-05,79256,20.38,7.79,30.04,20792,74088,20.38,7.68,29.91,20442,41292,6784
2025-06,78180,27.0,9.9,45.1,26527,72843,27.4,10.0,45.73,25964,36425,9697
2025-07,81358,30.43,12.87,41.38,28137,75962,30.89,13.13,41.63,27762,33983,13051
2025-08,75722,23.16,9.7,31.99,20409,70981,23.29,9.69,32.07,20125,35937,8062
2025-09,74690,26.91,10.77,37.58,23336,69832,27.23,10.9,37.75,23006,33726,10129
2025-10,72503,24.88,9.95,35.17,21183,67662,25.01,9.95,35.2,20894,33894,8580
2025-11,72234,20.33,7.78,29.77,18157,67400,20.36,7.65,29.84,17875,37530,6227
2025-12,61926,21.96,9.72,29.9,18527,57836,22.0,9.76,29.59,18278,29232,5657
