calls_received_day,call_count,answer_time_mean,answer_time_median,answer_time_std,call_count_not_answered,call_count_112,answer_time_mean_112,answer_time_median_112,answer_time_std_112,call_count_112_not_answered
2024-01-01,3958,42.62,16.03,57.07,2151,3710,44.13,17.16,57.66,2129
2024-01-02,2705,11.2,4.5,17.61,562,2509,11.11,4.36,17.65,537
2024-01-03,2457,25.27,9.43,35.46,822,2266,25.81,9.33,35.93,803
2024-01-04,2369,18.32,9.1,23.09,749,2174,18.22,9.09,22.59,738
2024-01-05,2397,22.09,12.21,25.95,788,2189,21.61,11.88,25.08,773
2024-01-06,2136,29.45,16.81,33.67,781,2003,29.68,17.23,33.09,774
2024-01-07,2228,16.92,5.65,27.17,600,2096,16.84,5.41,27.21,591
2024-01-08,2449,22.93,10.84,29.1,715,2282,22.77,10.41,28.79,702
2024-01-09,2251,22.29,12.08,26.75,767,2067,22.65,12.36,26.81,752
2024-01-10,2564,14.02,4.98,23.17,586,2358,13.49,4.76,22.68,567
2024-01-11,2783,22.84,10.54,30.57,999,2592,23.13,10.6,31.08,991
2024-01-12,2696,28.67,15.33,33.73,1081,2508,29.22,15.76,34.22,1073
2024-01-13,2379,30.36,16.71,34.54,854,2195,31.44,17.68,35.32,846
2024-01-14,2225,24.04,12.95,30.8,764,2075,23.74,12.95,30.35,749
2024-01-15,2536,21.7,9.06,28.94,761,2355,21.4,8.81,28.26,742
2024-01-16,2353,28.25,15.72,32.98,930,2177,28.65,16.2,33.23,912
2024-01-17,2510,26.31,11.55,33.93,795,2331,26.48,11.5,34.13,777
2024-01-18,2496,13.9,6.08,19.49,692,2319,13.39,5.69,18.6,679
2024-01-19,2396,22.14,12.28,26.67,860,2208,21.75,12.18,23.69,840
2024-01-20,2467,25.9,12.68,31.41,881,2317,26.42,13.23,31.84,869
2024-01-21,2393,28.83,13.96,36.52,883,2230,29.54,14.68,37.08,868
2024-01-22,2291,40.57,24.7,44.84,1120,2082,41.14,26.24,44.28,1091
2024-01-23,2566,22.71,9.26,31.17,1024,2378,22.46,8.88,30.73,1004
2024-01-24,2441,46.21,26.75,50.14,1278,2227,48.17,28.97,51.3,1254
2024-01-25,2473,24.14,11.61,33.95,964,2261,23.81,11.87,31.94,947
2024-01-26,2517,16.54,7.4,25.19,747,2322,15.85,7.28,23.07,735
2024-01-27,2386,35.58,19.12,38.97,1038,2207,36.73,20.41,39.6,1022
2024-01-28,2406,25.97,11.73,34.54,744,2237,26.59,12.0,35.23,737
2024-01-29,2483,26.35,13.6,33.34,915,2292,26.45,14.56,30.99,901
2024-01-30,2264,43.08,25.01,50.14,1113,2094,44.9,27.18,51.29,1104
2024-01-31,2380,32.89,19.88,36.75,1043,2191,33.81,21.16,37.08,1030
2024-02-01,2375,39.84,20.36,51.41,1167,2211,41.26,21.79,52.5,1155
2024-02-02,2455,26.73,13.3,32.12,929,2276,26.94,13.72,31.63,913
2024-02-03,2597,23.73,11.76,31.12,844,2438,23.91,11.9,31.33,829
2024-02-04,2260,30.26,14.07,37.6,789,2114,31.35,15.11,38.4,786
2024-02-05,2376,30.31,15.36,37.8,980,2193,31.09,16.06,38.37,963
2024-02-06,2408,26.09,12.41,34.76,928,2239,26.17,12.66,34.73,916
2024-02-07,2190,37.74,19.13,48.7,1101,2025,38.56,19.92,49.51,1068
2024-02-08,2382,22.0,8.14,33.31,677,2192,21.69,7.99,31.19,657
2024-02-09,2390,27.27,14.02,34.43,930,2194,27.37,14.38,34.06,922
2024-02-10,2453,27.68,16.74,29.76,864,2269,27.76,16.94,29.58,856
2024-02-11,2328,20.94,10.22,28.0,717,2166,21.01,10.36,28.02,710
2024-02-12,2695,18.28,9.05,24.58,711,2495,17.81,8.91,23.66,684
2024-02-13,2400,14.62,7.81,18.35,718,2223,14.48,7.67,18.24,706
2024-02-14,2455,17.3,8.65,25.49,658,2287,16.36,8.17,22.35,644
2024-02-15,2429,26.86,13.78,33.44,916,2268,26.68,13.58,33.45,900
2024-02-16,2574,19.96,8.52,29.42,776,2375,19.79,8.51,29.19,761
2024-02-17,2365,39.92,18.35,59.75,1261,2202,41.21,18.93,61.34,1249
2024-02-18,2252,25.72,12.97,33.31,833,2121,25.49,12.98,32.45,827
2024-02-19,2335,25.32,12.37,31.85,790,2162,25.99,12.86,32.23,779
2024-02-20,2324,29.71,15.1,35.81,968,2135,30.38,16.05,36.0,960
2024-02-21,2201,31.76,18.31,35.22,1125,2059,32.65,19.22,35.71,1115
2024-02-22,2317,49.36,26.86,56.55,1192,2166,49.95,27.39,56.56,1177
