,mission_date,mission_type,dispatchcode_category,dispatchcode_criticality,mission_location_district,response_time,units_non_berlin_involed,units_several_involved,units_reinforcements_called,units_organisations,firstresponder_alarmed,firstresponder_indication,firstresponder_first_arrival,units_first_type,emergency_doctor_involved
0,2025-01-01,Brand,,,Spandau,385.0,False,False,False,ORG_BFW,False,False,False,LHF,False
1,2025-01-01,Rettungsdienst,,,Friedrichshain-Kreuzberg,166.0,False,True,False,ORG_BFW,False,False,False,NEF,True
2,2025-01-01,Brand,,,Charlottenburg-Wilmersdorf,475.0,False,True,False,ORG_BFW,False,False,False,LHF,False
3,2025-01-01,Rettungsdienst,,,Friedrichshain-Kreuzberg,,False,False,True,ORG_BFW,False,False,False,RTW,False
4,2025-01-01,Brand,,,Mitte,537.0,False,True,False,ORG_BFW,False,False,False,LHF,False
5,2025-01-01,Brand,,,Tempelhof-Schöneberg,499.0,False,True,False,ORG_BFW,False,False,False,LHF,False
6,2025-01-01,Brand,,,Mitte,496.0,False,True,False,ORG_BFW,False,False,False,LHF,False
7,2025-01-01,Notverlegung,,,Spandau,476.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
8,2025-01-01,Notverlegung,,,Reinickendorf,575.0,False,False,False,ORG_BFW,False,False,False,RTW-B,False
9,2025-01-01,Notverlegung,,,Spandau,145.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
10,2025-01-01,Notverlegung,,,Mitte,1149.0,False,True,False,ORG_BFW,False,False,False,RTW-C,True
11,2025-01-01,Brand,,,Reinickendorf,,False,True,False,ORG_BFW,False,False,False,LHF,False
12,2025-01-01,Brand,,,Friedrichshain-Kreuzberg,620.0,False,True,False,ORG_BFW,False,False,False,LHF,False
13,2025-01-01,Rettungsdienst,,,Charlottenburg-Wilmersdorf,149.0,False,False,False,ORG_DRK,False,False,False,RTW-B,False
14,2025-01-01,Rettungsdienst,,,Charlottenburg-Wilmersdorf,135.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
15,2025-01-01,Rettungsdienst,,,Steglitz-Zehlendorf,751.0,False,False,False,ORG_JUH,False,False,False,RTW-C,False
16,2025-01-01,Rettungsdienst,,,Pankow,168.0,False,False,False,ORG_MHD,False,False,False,RTW-C,False
17,2025-01-01,Rettungsdienst,,,Reinickendorf,142.0,False,True,False,ORG_BFW,False,False,False,RTW-C,True
18,2025-01-01,Brand,,,Charlottenburg-Wilmersdorf,651.0,False,False,False,ORG_BFW,False,False,False,LHF-LFW,False
19,2025-01-01,Rettungsdienst,,,Charlottenburg-Wilmersdorf,143.0,False,False,False,ORG_BFW,False,False,False,RTW-B,False
20,2025-01-01,Rettungsdienst,,,Friedrichshain-Kreuzberg,426.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
21,2025-01-01,Notverlegung,,,Friedrichshain-Kreuzberg,599.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
22,2025-01-01,Notverlegung,,,Steglitz-Zehlendorf,1440.0,False,True,True,ORG_BFW,False,False,False,RTW-C,False
23,2025-01-01,Notverlegung,,,Steglitz-Zehlendorf,1719.0,False,True,True,ORG_BFW,False,False,False,RTW-C,False
24,2025-01-01,Brand,,,Charlottenburg-Wilmersdorf,357.0,False,True,False,ORG_BFW,False,False,False,LHF-M,False
25,2025-01-01,Technische Hilfeleistung,,,Pankow,,False,False,False,ORG_BFW,False,False,False,,False
26,2025-01-01,Notverlegung,,,Pankow,,False,True,True,ORG_BFW,False,False,False,NEF,True
27,2025-01-01,Brand,,,Mitte,,False,True,False,ORG_BFW,False,False,False,LHF-M,False
28,2025-01-01,Notverlegung,,,Friedrichshain-Kreuzberg,1273.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
29,2025-01-01,Notverlegung,,,Lichtenberg,869.0,False,False,False,ORG_JUH,False,False,False,RTW-C,False
30,2025-01-01,Technische Hilfeleistung,,,Reinickendorf,,False,True,False,ORG_BFW,False,False,False,,False
31,2025-01-01,Brand,,,Pankow,532.0,False,False,False,ORG_BFW,False,False,False,TLF,False
32,2025-01-01,Notverlegung,,,Friedrichshain-Kreuzberg,131.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
33,2025-01-01,Notverlegung,,,Spandau,1827.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
34,2025-01-01,Notverlegung,,,Neukölln,,False,True,False,ORG_BFW,False,False,False,RTW-C,False
35,2025-01-01,Notverlegung,,,Friedrichshain-Kreuzberg,,False,True,True,ORG_BFW,False,False,False,NEF,True
36,2025-01-01,Technische Hilfeleistung,,,Treptow-Köpenick,,False,True,False,ORG_BFW,False,False,False,LHF,False
37,2025-01-01,Brand,,,Mitte,399.0,False,True,False,ORG_BFW,False,False,False,LHF,False
38,2025-01-01,Notverlegung,,,Charlottenburg-Wilmersdorf,916.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
39,2025-01-01,Notverlegung,,,Mitte,,False,False,False,ORG_BFW,False,False,False,RTW-S,False
40,2025-01-01,Notverlegung,,,Mitte,736.0,False,False,False,ORG_MHD,False,False,False,RTW-B,False
41,2025-01-01,Notverlegung,,,Steglitz-Zehlendorf,,False,True,True,ORG_BFW,False,False,False,RTW-C,True
42,2025-01-01,Technische Hilfeleistung,,,Spandau,132.0,False,False,False,ORG_BFW,False,False,False,LHF,False
43,2025-01-01,Notverlegung,,,Reinickendorf,869.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
44,2025-01-01,Notverlegung,,,Mitte,140.0,False,False,False,ORG_BFW,False,False,False,RTW-B,False
45,2025-01-01,Brand,,,Friedrichshain-Kreuzberg,465.0,False,True,False,ORG_BFW,False,False,False,LHF-M,False
46,2025-01-01,Technische Hilfeleistung,,,Reinickendorf,,False,True,False,ORG_BFW,False,False,False,LHF-M,False
47,2025-01-01,Notverlegung,,,Pankow,,False,True,True,ORG_BFW,False,False,False,NEF,True
48,2025-01-01,Notverlegung,,,Mitte,163.0,False,False,False,ORG_BFW,False,False,False,RTW-S,False
49,2025-01-01,Rettungsdienst,,,Friedrichshain-Kreuzberg,140.0,False,False,False,ORG_BFW,False,False,False,RTW-AZ,False
50,2025-01-01,Notverlegung,,,Reinickendorf,157.0,False,False,False,ORG_MHD,False,False,False,RTW-B,False
51,2025-01-01,Brand,,,Mitte,769.0,False,True,False,ORG_BFW,False,False,False,RTW-C,False
52,2025-01-01,Rettungsdienst,,,Spandau,514.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
53,2025-01-01,Notverlegung,,,Neukölln,,False,False,False,ORG_BFW,False,False,False,RTW,False
54,2025-01-01,Notverlegung,,,Steglitz-Zehlendorf,,False,False,False,ORG_BFW,False,False,False,RTW-C,False
55,2025-01-01,Notverlegung,,,Steglitz-Zehlendorf,1329.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
56,2025-01-01,Notverlegung,,,Mitte,211.0,False,False,False,ORG_MHD,False,False,False,RTW-B,False
57,2025-01-01,Notverlegung,,,Spandau,693.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
58,2025-01-01,Brand,,,Neukölln,181.0,False,True,False,ORG_BFW,False,False,False,RTW-C,False
59,2025-01-01,Brand,,,Marzahn-Hellersdorf,617.0,False,True,False,ORG_BFW,False,False,False,LHF,False
60,2025-01-01,Rettungsdienst,,,Mitte,,False,True,True,"ORG_BW, ORG_BFW",False,False,False,RTW-B,False
61,2025-01-01,Notverlegung,,,Steglitz-Zehlendorf,945.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
62,2025-01-01,Brand,,,Pankow,,False,False,True,ORG_BFW,False,False,False,LHF,False
63,2025-01-01,Technische Hilfeleistung,,,Charlottenburg-Wilmersdorf,,False,True,True,ORG_BFW,False,False,False,DLK,False
64,2025-01-01,Brand,,,Charlottenburg-Wilmersdorf,737.0,False,True,False,ORG_BFW,False,False,False,LHF-M,False
65,2025-01-01,Brand,,,Spandau,132.0,False,False,False,ORG_BFW,False,False,False,LHF-FF,False
66,2025-01-01,Notverlegung,,,Marzahn-Hellersdorf,,False,True,True,"ORG_MHD, ORG_BFW",False,False,False,NEF,True
67,2025-01-01,Notverlegung,,,Steglitz-Zehlendorf,874.0,False,False,False,ORG_BFW,False,False,False,RTW-C,False
68,2025-01-01,Notverlegung,,,Pankow,467.0,False,False,False,ORG_JUH,False,False,False,RTW-C,False
69,2025-01-01,Brand,,,Treptow-Köpenick,426.0,False,True,False,ORG_BFW,False,False,False,ELW1-C,False
70,2025-01-01,Brand,,,Marzahn-Hellersdorf,673.0,False,True,False,ORG_BFW,False,False,False,LHF,False
71,2025-01-01,Notverlegung,,,Pankow,1218.0,False,False,False,ORG_MHD,False,False,False,RTW-C,False
